SYMBOL,YF_SYMBOL,ORIGINAL_SUFFIX,YF_SUFFIX,DESCRIPTION
TTE.FR,TTE.PA,.FR,.PA,Paris exchange
MAIN.US,MAIN,.US,,USA
O.US,O,.US,,USA
COST.US,COST,.US,,USA
KO.US,KO,.US,,USA
ARCC.US,ARCC,.US,,USA
NVDA.US,NVDA,.US,,USA
SXRV.DE,SXRV.DE,.DE,.DE,Germany
LDOS.US,LDOS,.US,,USA
WDP.BE,WDP.BR,.BE,.BR,Belgium
AAPL.US,AAPL,.US,,USA
4GLD.DE,4GLD.DE,.DE,.DE,Germany
JNJ.US,JNJ,.US,,USA
IDVY.NL,IDVY.AS,.NL,.AS,Netherlands
TTD.US,TTD,.US,,USA
ENEL.IT,ENEL.MI,.IT,.MI,Italy
VHYD.UK,VHYD.L,.UK,.L,London
OXY.US,OXY,.US,,USA
EUNA.DE,EUNA.DE,.DE,.DE,Germany
PLTR.US,PLTR,.US,,USA
PFE.US,PFE,.US,,USA

